word,object_type,relation_type,phoneme_nb,lexical_freq,visual_freq,AoA,visual_complexity,familiarity,imageability,concreteness
fromage,1,3,6,20.81,25.68,2.97,1.87,4.18,4.86458333333333,4.8125
girafe,2,4,5,1.89,2.71,4.29,3.65,1.88,4.85416666666667,4.63541666666667
grenouille,2,4,6,4.59,5.74,4.29,3.52,2.24,4.90625,4.63541666666667
herbe,2,3,3,86.08,27.64,3.68,2.26,3.76,4.86458333333333,4.83333333333333
héron,2,2,3,1.08,0.27,9.48,3.52,1.61,3.86458333333333,4.33333333333333
iceberg,2,3,7,1.08,1.5,8,3.52,2.06,4.35416666666667,4.14583333333333
jupe,1,2,3,34.05,10.12,4.38,2.39,3.44,4.91666666666667,4.86458333333333
kiwi,2,1,4,0.07,0,6.72,2.46,3.23,4.92708333333333,4.89583333333333
lait,2,3,2,62.23,59.41,3.06,1.48,4.71,4.89583333333333,4.875
lampe,1,1,3,70.88,22.22,4.65,2.61,4.35,4.8125,4.91666666666667
lapin,2,2,4,16.76,26.59,3.06,2.83,3.35,4.94791666666667,4.82291666666667
libellule,2,2,7,2.16,1.07,7.49,3.6,1.7,4.54166666666667,4.54166666666667
lilas,2,1,4,5.47,2.28,8.52,3.98,2.14,4.13541666666667,4.42708333333333
lion,2,1,3,20.14,14.58,3.76,3.57,2.12,4.90625,4.5625
liquidevaisselle,1,1,5,21.42,14.92,6.5,1.91,4.12,4.71875,4.77083333333333
loquet,1,2,4,4.05,0.6,8.91,3.26,2.79,2.86458333333333,4.01041666666667
loup,2,2,2,22.3,20.97,6.49,3.68,1.65,4.67708333333333,4.59375
lunettesdesoleil,1,3,5,198.31,76.165,4.82,1.87,3.65,4.94791666666667,4.9375
mais,2,2,4,6.42,6.33,5.71,2.74,3.21,4.79166666666667,4.71875
mangue,2,2,3,0.74,0.73,8.78,2.11,2.49,4.65625,4.78125
marteau,1,4,5,13.31,11.84,5.18,1.74,3.06,4.875,4.86458333333333
medaille,1,1,5,9.53,12.44,6.41,2.09,1.97,4.70833333333333,4.61458333333333
montre,1,1,4,41.62,43.91,4.82,3.26,4.44,4.85416666666667,4.84375
mouette,2,4,4,5.47,1.43,4.74,3.22,2.59,4.6875,4.66666666666667
moulin,1,3,4,15.61,6.8,5.94,3.83,1.88,4.66666666666667,4.51041666666667
nenuphar,2,3,7,0.47,0.25,8.15,3.52,2.09,4.47916666666667,4.51041666666667
niche,1,3,3,6.35,2.17,5,2.74,1.97,4.38541666666667,4.52083333333333
nid,2,3,2,14.59,11.07,4.65,3.09,2.41,4.60416666666667,4.44791666666667
orange,2,4,4,12.03,11.56,3.32,1.22,4.09,4.96875,4.92708333333333
ordinateur,1,1,9,2.3,30.2,7.7,3.96,4.9,4.97916666666667,4.95833333333333
ours,2,1,3,17.36,23.96,6.52,3.36,1.58,4.82291666666667,4.52083333333333
palette,1,3,5,4.12,0.28,5.68,2.74,2.15,4.1875,4.19791666666667
panda,2,4,4,0.14,1.46,4.21,3.35,2.21,4.89583333333333,4.57291666666667
panier,1,2,5,24.39,13.82,5.79,2.74,5.09,4.77083333333333,4.71875
pantalon,1,4,6,57.91,31.49,2.62,1.91,4.79,4.95833333333333,4.98958333333333
papillon,2,2,6,10.68,8.12,6.52,3.51,2.88,4.85416666666667,4.73958333333333
parapluie,1,1,8,12.5,6.37,6.39,2.42,3.08,4.90625,4.88541666666667
parterredefleur,2,2,6,4.05,2.31,9,4.16,2.96,4.58333333333333,4.42708333333333
partition,1,3,8,3.72,2.88,8.38,3.83,2.35,4.125,4.21875
peche,2,2,3,26.76,21.13,4.56,1.65,3.26,4.75,4.60416666666667
pelotedelaine,1,2,5,4.19,0.94,6.06,1.78,2.26,4.60416666666667,4.61458333333333
perroquet,2,2,6,7.36,4.39,5.09,3.87,2.47,4.76041666666667,4.69791666666667
phoque,2,1,3,2.77,2.24,5.88,3,1.79,4.5,4.54166666666667
piano,1,4,5,28.51,21.5,4.26,3.87,2.76,4.9375,4.875
pile,1,2,3,0.07,0,5.88,1.7,3.5,4.64583333333333,4.71875
pinceau,1,4,4,10.27,2.96,4.12,1.52,2.38,4.86458333333333,4.8125
pingouin,2,4,5,1.35,2.29,5.15,3.26,1.82,4.77083333333333,4.57291666666667
poele,1,1,4,17.84,4.58,5.79,1.96,4.62,4.73958333333333,4.89583333333333
poire,2,1,4,10.81,5.67,3.24,1.35,5.12,4.95833333333333,4.92708333333333
poivron,2,1,6,0.27,0.51,7.36,2.3,3.31,4.89583333333333,4.91666666666667
pomme,2,1,3,46.08,19.77,2.79,1.35,4.29,5,4.98958333333333
poule,2,2,3,16.69,23.5,7.01,3.57,2.85,4.90625,4.90625
poulpe,2,2,4,1.22,1.48,8.66,4.34,1.46,4.07291666666667,4.42708333333333
presseagrumes,1,3,9,0,0.04,7.76,3.04,2.74,4.02083333333333,4.51041666666667
prise,1,3,4,27.7,22.92,5.79,2.13,4.82,4.60416666666667,4.73958333333333
radis,2,1,4,3.11,1.81,8.12,2.35,2.5,4.60416666666667,4.8125
raisin,2,1,4,4.86,5.88,3.5,2.52,3.91,4.94791666666667,4.9375
raquette,1,3,5,1.69,1.77,6.06,2.26,2.18,4.63541666666667,4.61458333333333
requin,2,1,4,1.62,8.15,4.82,3.48,1.88,4.76041666666667,4.40625
rose,2,4,3,30.34,11.12,4.29,3.09,2.76,4.875,4.76041666666667
rougealevres,1,1,3.5,132.025,33.42,5.88,2.65,3.5,4.86458333333333,4.82291666666667
