TAXO17;2,307692308;TAXOFAB1;2,692307692;THEMA1;1,769230769;THEMAFAB1;1,384615385;NRNAT1;1,363636364;NRFAB1;1,090909091
TAXO1;4,615384615;TAXOFAB10;2,230769231;THEMA10;1,846153846;THEMAFAB10;1,230769231;NRNAT10;1,772727273;NRFAB10;1,090909091
TAXO10;3,846153846;TAXOFAB11;2,769230769;THEMA11;1,384615385;THEMAFAB11;1,230769231;NRNAT11;1,181818182;NRFAB11;1,136363636
TAXO11;2,923076923;TAXOFAB12;3,615384615;THEMA12;1,692307692;THEMAFAB12;1,615384615;NRNAT12;1,454545455;NRFAB12;1,954545455
TAXO12;2,153846154;TAXOFAB13;1,923076923;THEMA13;1,615384615;THEMAFAB13;1,384615385;NRNAT13;1,454545455;NRFAB13;2,227272727
TAXO13;3,307692308;TAXOFAB14;2,538461538;THEMA14;1,384615385;THEMAFAB14;2,615384615;NRNAT14;2,363636364;NRFAB14;2,272727273
TAXO14;3,461538462;TAXOFAB15;4;THEMA15;1,384615385;THEMAFAB15;1,538461538;NRNAT15;1,272727273;NRFAB15;1,590909091
TAXO15;3,076923077;TAXOFAB16;4,076923077;THEMA16;2,076923077;THEMAFAB16;1,153846154;NRNAT16;1,227272727;NRFAB16;2
TAXO16;3,769230769;TAXOFAB17;1,923076923;THEMA17;1,538461538;THEMAFAB17;1,461538462;NRNAT17;1,045454545;NRFAB17;1,181818182
TAXO18;3,307692308;TAXOFAB18;2,923076923;THEMA18;1,692307692;THEMAFAB18;1,461538462;NRNAT18;1,409090909;NRFAB18;1,363636364
TAXO19;3,076923077;TAXOFAB19;3,461538462;THEMA19;1,307692308;THEMAFAB19;1,769230769;NRNAT19;1,272727273;NRFAB19;2,045454545
TAXO2;4,461538462;TAXOFAB2;2,615384615;THEMA2;2,076923077;THEMAFAB2;1,384615385;NRNAT2;1,227272727;NRFAB2;2,454545455
TAXO3;3,923076923;TAXOFAB3;2,846153846;THEMA3;1,384615385;THEMAFAB3;1,384615385;NRNAT3;1,727272727;NRFAB3;1,818181818
TAXO4;3,307692308;TAXOFAB4;2,307692308;THEMA4;1,461538462;THEMAFAB4;1,307692308;NRNAT4;2,409090909;NRFAB4;1,5
TAXO5;2,923076923;TAXOFAB5;2,923076923;THEMA5;1,692307692;THEMAFAB5;1,769230769;NRNAT5;1,363636364;NRFAB5;1,909090909
TAXO6;3;TAXOFAB6;2,230769231;THEMA6;1,153846154;THEMAFAB6;1,461538462;NRNAT6;1,227272727;NRFAB6;2,636363636
TAXO7;4,615384615;TAXOFAB7;2,615384615;THEMA7;1,615384615;THEMAFAB7;1,307692308;NRNAT7;1,863636364;NRFAB7;1,818181818
TAXO8;3,384615385;TAXOFAB8;2,153846154;THEMA8;1,538461538;THEMAFAB8;1,769230769;NRNAT8;1,454545455;NRFAB8;2,363636364
TAXO9;2,615384615;TAXOFAB9;3,769230769;THEMA9;1,307692308;THEMAFAB9;1,307692308;NRNAT9;1,818181818;NRFAB9;3,045454545
